State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit ,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
206528,DC Infrastructure Academy,893,Unsubsidized Employment,7/26/2021,7/26/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
421900,DC Infrastructure Academy,101,Orientation,12/18/2020,12/18/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
421900,DC Infrastructure Academy,893,Unsubsidized Employment,6/22/2021,6/22/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/22/2021,Utility Lines Construction Services,Upper Marlboro,MD,Distribution Groundman,40,20.02,1,1,1,0,238210,,,
175231,DC Infrastructure Academy,101,Orientation,12/19/2020,12/19/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
175231,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
175231,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,4/2/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,,,,                              ,,,,,,,,,,,,,,
175231,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,4/2/2021,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,                              ,,,,,,,,,,,,,,
623016,DC Infrastructure Academy,101,Orientation,12/22/2020,12/22/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623016,DC Infrastructure Academy,893,Unsubsidized Employment,7/26/2021,7/26/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
623017,DC Infrastructure Academy,101,Orientation,12/21/2020,12/21/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
623017,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
623017,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
623017,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
623017,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
623017,DC Infrastructure Academy,893,Unsubsidized Employment,7/12/2021,7/12/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/12/2021,,7/12/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
62409,DC Infrastructure Academy,101,Orientation,12/22/2020,12/22/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
62409,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
62409,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
62409,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,,,,                              ,,,,,,,,,,,,,,
62409,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,                              ,,,,,,,,,,,,,,
623223,DC Infrastructure Academy,101,Orientation,12/17/2020,12/17/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
623223,DC Infrastructure Academy,893,Unsubsidized Employment,6/11/2021,6/11/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/11/2021,Aldridge Electric,Libertyville,IL,groundsman,30,23.67,1,1,9,0,236220,,,
325457,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
325457,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
477691,DC Infrastructure Academy,101,Orientation,1/12/2021,1/12/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
291943,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
291943,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
291943,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
291943,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
135514,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
135514,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
135514,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
135514,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
482490,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
482490,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
482490,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
108068,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
515495,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
515495,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
515495,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
515495,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
212591,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
212591,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
212591,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
212591,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
526340,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
526340,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
526340,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
526340,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
234106,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
234106,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
234106,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
234106,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
174039,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
174039,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
174039,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
174039,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
227111,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
227111,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
227111,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
227111,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/11/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
482795,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
482795,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
482795,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Unsuccessful Completion - Did Not Meet Requirement,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
17353,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
17353,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,2/22/2021,Unsuccessful Completion - Failed to Report,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
624710,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
624710,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
624710,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
331962,DC Infrastructure Academy,101,Orientation,1/22/2021,1/22/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
128239,DC Infrastructure Academy,101,Orientation,1/25/2021,1/25/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
128239,DC Infrastructure Academy,893,Unsubsidized Employment,6/25/2021,6/25/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/30/2021,,6/25/2021,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,1,0,541614,,,
273124,DC Infrastructure Academy,101,Orientation,1/26/2021,1/26/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
273124,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/25/2021,Unsuccessful Completion - Failed to Report,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
273124,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
273124,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,3/1/2021,Unsuccessful Completion - Failed to Report,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
232686,DC Infrastructure Academy,101,Orientation,1/27/2021,1/27/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
232686,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
232686,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
232686,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,3/1/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507025,DC Infrastructure Academy,101,Orientation,1/27/2021,1/27/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
507025,DC Infrastructure Academy,893,Unsubsidized Employment,6/14/2021,6/14/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/21/2021,,6/14/2021,Aldridge Electric,Libertyville,IL,Groundman,40,23.67,1,1,9,0,236220,,,
43376,DC Infrastructure Academy,101,Orientation,1/25/2021,1/25/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,4/14/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,4/14/2021,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
